iter	RMSE
633	15747.10933
634	15735.76089
635	15728.25964
636	15710.0859
637	15709.29452
638	15704.03004
639	15703.24815
640	15694.05124
641	15675.04993
642	15674.3305
643	15662.49587
644	15661.4996
645	15647.32796
646	15646.55497
647	15645.719
648	15633.78531
649	15622.70764
650	15621.40633
651	15614.91504
652	15613.63809
653	15612.65003
654	15610.42737
655	15609.73442
656	15604.10862
657	15596.437
658	15585.67911
659	15570.27732
660	15569.1821
661	15558.82741
662	15548.4806
663	15538.01442
664	15536.94033
665	15526.98728
666	15516.06971
667	15505.46269
668	15499.65448
669	15495.93206
670	15494.68097
671	15491.34686
672	15481.16595
673	15465.24156
674	15463.76511
675	15453.86202
676	15444.24883
677	15433.72622
678	15430.1561
679	15424.50533
680	15413.09983
681	15412.11114
682	15408.12289
683	15406.97967
684	15405.79374
685	15400.37507
686	15399.2449
687	15392.01471
688	15384.97553
689	15372.36988
690	15368.85929
691	15365.48311
692	15364.35907
693	15363.44298
694	15361.30121
695	15358.16941
696	15357.46235
697	15348.81666
698	15345.12222
699	15329.74669
700	15328.84897
701	15319.69922
702	15308.11527
703	15306.69405
704	15296.54713
705	15286.82812
706	15270.69919
707	15268.05613
708	15262.13791
709	15255.32276
710	15251.90213
711	15249.69463
712	15241.57681
713	15240.9456
714	15240.33958
715	15237.01799
716	15231.29934
717	15218.48885
718	15207.11024
719	15202.34836
720	15200.72234
721	15195.19265
722	15192.21754
723	15182.44461
724	15171.50753
725	15158.82525
726	15149.60275
727	15144.47805
728	15141.33993
729	15140.44922
730	15131.09302
731	15118.35223
732	15107.06693
733	15099.08237
734	15085.07991
735	15070.41356
736	15063.603
737	15051.74623
738	15050.42454
739	15043.53404
740	15042.713
741	15031.89317
742	15025.50313
743	15022.51987
744	15018.77633
745	15002.97553
746	14997.96289
747	14984.23116
748	14973.37039
749	14970.10005
750	14968.08775
751	14967.07182
752	14966.53216
753	14962.22207
754	14956.51825
755	14946.0535
756	14941.04388
757	14933.93538
758	14930.38727
759	14929.11712
760	14913.96784
761	14899.33231
762	14884.52194
763	14870.91138
764	14859.70526
765	14845.64557
766	14837.82064
767	14828.77857
768	14812.51147
769	14798.95658
770	14787.76831
771	14783.71003
772	14773.1047
773	14758.28555
774	14752.28013
775	14748.3462
776	14741.95727
777	14729.03814
778	14722.27394
779	14713.77137
780	14694.31731
781	14686.24437
782	14677.60821
783	14665.17688
784	14652.2863
785	14641.94326
786	14626.46904
787	14619.10599
788	14612.97823
789	14601.02508
790	14593.86276
791	14583.93068
792	14578.61869
793	14557.59781
794	14533.483
795	14529.83126
796	14524.56091
797	14506.83393
798	14506.63009
799	14498.89204
800	14492.2342
801	14492.07915
802	14478.76244
803	14472.46408
804	14455.29877
805	14452.25465
806	14448.22392
807	14440.26171
808	14433.58265
809	14427.2804
810	14412.24472
811	14406.90763
812	14394.47246
813	14390.54852
814	14387.30104
815	14383.45427
816	14381.24345
817	14369.1974
818	14360.79577
819	14356.95846
820	14356.63522
821	14353.36989
822	14340.18044
823	14327.73991
824	14327.58499
825	14315.61057
826	14311.92195
827	14305.8862
828	14302.92694
829	14297.81581
830	14291.99883
831	14290.05591
832	14273.83743
833	14257.46735
834	14252.08219
835	14249.04265
836	14237.50756
837	14234.7386
838	14232.87698
839	14229.51483
840	14229.36477
841	14217.45937
842	14206.98618
843	14204.04915
844	14202.22828
845	14202.08253
846	14198.36161
847	14194.76846
848	14191.74452
849	14186.89606
850	14171.40851
851	14159.63896
852	14154.95979
853	14143.76717
854	14128.0747
855	14127.93237
856	14124.39914
857	14121.73608
858	14110.91883
859	14110.75192
860	14109.71225
861	14106.88683
862	14105.95429
863	14094.87819
864	14091.63313
865	14086.46972
866	14072.21793
867	14061.56998
868	14059.61189
869	14048.37295
870	14045.03761
871	14039.47191
872	14036.32949
873	14033.27632
874	14021.6676
875	14016.96357
876	14014.41805
877	14008.9327
878	14008.77335
879	13993.71007
880	13989.30908
881	13988.31782
882	13981.45435
883	13971.72432
884	13970.84711
885	13959.59018
886	13948.85647
887	13946.23627
888	13935.47944
889	13935.32326
890	13929.00431
891	13921.04911
892	13908.65339
893	13903.22291
894	13890.91374
895	13880.8511
896	13873.82872
897	13868.51168
898	13858.37005
899	13857.52766
900	13856.7096
901	13853.7466
902	13850.43867
903	13847.47842
904	13835.32855
905	13834.40348
906	13825.39923
907	13822.73771
908	13804.41059
909	13799.52989
910	13799.38162
911	13789.5482
912	13786.43982
913	13783.77064
914	13766.84009
915	13749.25738
916	13737.46112
917	13726.4429
918	13719.87835
919	13709.77825
920	13695.31504
921	13688.87599
922	13672.29953
923	13671.41348
924	13671.27413
925	13667.78208
926	13665.01756
927	13658.81851
928	13653.70186
929	13651.97472
930	13649.64772
931	13634.88813
932	13631.59101
933	13619.98234
934	13612.908
935	13599.91128
936	13594.95816
937	13591.80011
938	13584.98984
939	13584.72402
940	13573.5093
941	13573.3732
942	13559.25264
943	13552.40757
944	13545.01166
945	13540.34252
946	13526.31778
947	13524.79368
948	13521.75059
949	13518.22528
950	13509.34578
951	13498.45052
952	13497.50109
953	13489.97408
954	13487.29071
955	13480.45088
956	13474.36786
957	13470.38314
958	13470.25041
959	13466.67818
960	13459.44251
961	13450.80207
962	13440.26011
963	13440.1288
964	13426.56606
965	13419.63704
966	13403.93239
967	13403.8103
968	13400.46035
969	13392.18642
970	13380.66999
971	13369.88669
972	13363.30334
973	13354.74069
974	13353.45955
975	13348.56502
976	13336.96464
977	13335.4201
978	13332.56518
979	13324.65612
980	13316.69115
981	13312.0351
982	13301.94924
983	13299.1577
984	13289.95408
985	13281.72864
986	13279.04724
987	13272.04571
988	13269.47027
989	13263.19057
990	13262.34115
991	13262.03549
992	13258.93299
993	13257.99588
994	13250.27851
995	13245.68322
996	13245.36372
997	13234.40707
998	13234.10258
999	13228.78359
1000	13219.30546
1001	13216.87791
1002	13215.41705
1003	13209.36226
1004	13209.23705
1005	13208.26549
1006	13208.14233
1007	13193.34374
1008	13185.37617
1009	13183.15205
1010	13175.13745
1011	13175.02126
1012	13168.1462
1013	13163.16312
1014	13157.92957
1015	13157.12939
1016	13147.5391
1017	13147.49151
1018	13147.18467
1019	13140.92888
1020	13140.88166
1021	13136.21992
1022	13128.06864
1023	13120.39547
1024	13117.46128
1025	13115.68219
1026	13111.22098
1027	13102.40284
1028	13094.86099
1029	13091.75517
1030	13085.12442
1031	13081.68479
1032	13081.38143
1033	13069.88839
1034	13067.47144
1035	13064.05882
1036	13061.0839
1037	13057.71228
1038	13053.56793
1039	13044.42595
1040	13044.22514
1041	13041.57929
1042	13040.69613
1043	13034.7002
1044	13028.82368
1045	13017.79325
1046	13016.1358
1047	13014.53515
1048	13014.21014
1049	13005.84213
1050	13005.20074
1051	12994.0992
1052	12993.9648
1053	12992.43555
1054	12982.53369
1055	12982.21236
1056	12981.36481
1057	12975.71308
1058	12968.70219
1059	12959.31132
1060	12958.99382
1061	12951.47645
1062	12949.01285
1063	12936.16115
1064	12935.84713
1065	12934.38867
1066	12934.07885
1067	12927.29962
1068	12924.11457
1069	12919.33922
1070	12918.55821
1071	12907.53388
1072	12907.41378
1073	12907.14271
1074	12894.40002
1075	12889.94186
1076	12888.34565
1077	12883.60772
1078	12871.85363
1079	12871.58139
1080	12866.98878
1081	12863.53776
1082	12859.62984
1083	12850.16305
1084	12844.60285
1085	12837.35273
1086	12824.65118
1087	12816.70159
1088	12810.51999
1089	12799.85668
1090	12799.72897
1091	12799.53581
1092	12799.41407
1093	12787.16576
1094	12782.90126
1095	12782.71151
1096	12782.40515
1097	12782.1028
1098	12773.42625
1099	12770.6947
1100	12762.99183
1101	12753.72831
1102	12746.61292
1103	12746.31144
1104	12743.78949
1105	12734.80219
1106	12729.44724
1107	12718.7929
1108	12718.49348
1109	12711.61578
1110	12698.64331
1111	12698.53626
1112	12698.21974
1113	12697.33259
1114	12693.24968
1115	12684.01618
1116	12675.3073
1117	12675.11281
1118	12672.68446
1119	12670.05489
1120	12660.35146
1121	12656.24235
1122	12648.76441
1123	12646.06925
1124	12645.87879
1125	12645.57181
1126	12645.27003
1127	12637.2447
1128	12633.12171
1129	12625.31051
1130	12624.14629
1131	12615.7457
1132	12604.89122
1133	12597.70396
1134	12591.85066
1135	12576.76545
1136	12576.3044
1137	12575.95391
1138	12571.0804
1139	12570.98019
1140	12568.82518
1141	12552.56637
1142	12540.92936
1143	12538.24587
1144	12530.76696
1145	12530.42028
1146	12512.01623
1147	12511.90592
1148	12511.45785
1149	12501.07352
1150	12500.77111
1151	12492.7051
1152	12492.59678
1153	12484.53205
1154	12480.24348
1155	12465.94012
1156	12457.5664
1157	12453.71567
1158	12446.46368
1159	12442.76875
1160	12431.56911
1161	12426.35688
1162	12415.97566
1163	12407.0329
1164	12405.64939
1165	12395.19814
1166	12395.09518
1167	12387.40205
1168	12383.61242
1169	12375.26674
1170	12371.82604
1171	12371.54982
1172	12364.24604
1173	12348.95131
1174	12346.37282
1175	12340.09063
1176	12339.98928
1177	12339.88971
1178	12332.9105
1179	12332.61276
1180	12330.07148
1181	12316.30449
1182	12305.15776
1183	12293.32598
1184	12286.11319
1185	12286.01618
1186	12278.70005
1187	12272.91707
1188	12272.67321
1189	12264.90571
1190	12264.66478
1191	12256.61023
1192	12252.68884
1193	12252.57293
1194	12251.50964
1195	12248.98473
1196	12242.21352
1197	12236.47231
1198	12228.50006
1199	12222.38727
1200	12218.60857
1201	12207.16455
1202	12206.99629
1203	12206.61622
1204	12200.57836
1205	12194.83945
1206	12188.82318
1207	12182.84056
1208	12176.8258
1209	12166.33196
1210	12161.83882
1211	12156.23158
1212	12150.51632
1213	12147.3203
1214	12143.32121
1215	12139.88542
1216	12137.5801
1217	12132.1431
1218	12123.38172
1219	12123.28189
1220	12117.00797
1221	12108.81807
1222	12103.85488
1223	12100.02192
1224	12085.5991
1225	12079.12628
1226	12075.86071
1227	12071.94768
1228	12067.35026
1229	12067.06857
1230	12062.23116
1231	12059.25302
1232	12056.64392
1233	12051.36369
1234	12047.26926
1235	12041.00135
1236	12026.97239
1237	12024.80881
1238	12013.27055
1239	12012.76374
1240	12012.63721
1241	12012.51418
1242	12005.62303
1243	11998.58471
1244	11997.59242
1245	11994.14979
1246	11993.19246
1247	11992.87839
1248	11985.21492
1249	11982.19269
1250	11980.74315
1251	11974.62598
1252	11972.15498
1253	11965.53643
1254	11954.49162
1255	11952.54783
1256	11947.35184
1257	11941.59403
1258	11941.5095
1259	11935.79637
1260	11932.24544
1261	11930.19189
1262	11929.73947
1263	11923.77974
1264	11922.42145
1265	11907.82498
1266	11905.71859
1267	11905.39008
1268	11899.58056
1269	11896.25284
1270	11891.83835
1271	11877.64522
1272	11874.58028
1273	11865.32405
1274	11858.10596
1275	11857.65684
1276	11857.37428
1277	11853.62944
1278	11847.77501
1279	11837.90445
1280	11837.63749
1281	11834.46234
1282	11834.38075
1283	11833.64477
1284	11823.90437
1285	11822.51984
1286	11814.33797
1287	11810.47451
1288	11800.49753
1289	11797.75096
1290	11793.11116
1291	11780.33209
1292	11760.35625
1293	11759.63522
1294	11757.57871
